Site,Col_Company,Col_Recruit,Col_detail,Col_url
Saramin,(주)인이지,[INEEJI] AI연구소 AI엔지니어/데이터분석가,"서울강남구, 경력3년↑, 대졸↑, 정규직·계약직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54353910&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=4c567513-9751-4cab-afb0-b04d9c055138
Saramin,(주)파인더스,[연구원] 실험 및데이터분석연구원 모집(삼성),"서울강남구, 신입, 대졸↑, 정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54042726&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=4c567513-9751-4cab-afb0-b04d9c055138
Saramin,(주)디코드셀,단일세포·공간전사체데이터분석및 파이프라인 개발 담당자,"서울금천구, 경력 3~10년, 석사↑, 정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54473870&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=4c567513-9751-4cab-afb0-b04d9c055138
Saramin,(주)파인더스,[연구원] 실험 및데이터분석연구원 모집,"경기하남시, 경력무관, 대졸↑, 정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54534958&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=4c567513-9751-4cab-afb0-b04d9c055138
Saramin,(주)영신,[AI/ML 엔지니어 ] AI 스마트클린로드 센서데이터분석개발자,"경기용인시 기흥구, 경력무관, 대졸↑, 계약직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54144238&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=4c567513-9751-4cab-afb0-b04d9c055138
Saramin,블록스퀘어서울,블록스퀘어서울 알고리즘데이터분석및 디지털 자산 트레이더,"서울송파구, 신입, 학력무관, 계약직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54360224&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=4c567513-9751-4cab-afb0-b04d9c055138
Saramin,제이투케이,데이터분석금융투자분석  투자경험 필요.  나이무관 파트가능,"서울서초구, 경력무관, 학력무관, 정규직·계약직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54464006&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=4c567513-9751-4cab-afb0-b04d9c055138
Saramin,(주)백그라운드,## 전기 충전 인프라 상장기업 -  가동률제고팀데이터분석가,"경기안양시 동안구, 경력 5~16년, 대졸↑, 정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54559748&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=4c567513-9751-4cab-afb0-b04d9c055138
Saramin,주식회사라피플코리아리미티드,국내 대기업 계열사 - 온라인마케팅경력자(데이터분석가능자),"서울강남구, 경력 7~15년, 대졸↑, 정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54508357&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=4c567513-9751-4cab-afb0-b04d9c055138
Saramin,글로벌서치,임상데이터분석,"서울서초구, 경력 3~12년, 석사↑, 정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54474818&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=4c567513-9751-4cab-afb0-b04d9c055138
Saramin,(주)컴투스홀딩스,(홀딩스)데이터분석가 (4~8년차),"서울금천구, 경력 4~8년, 학력무관, 정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54309038&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=4c567513-9751-4cab-afb0-b04d9c055138
Saramin,커리어커넥트(주),대형저축은행 플랫폼사업팀원 (제휴서비스/데이터분석경력자),"서울강남구, 경력 5~9년, 대졸↑, 정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54554469&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=4c567513-9751-4cab-afb0-b04d9c055138
Saramin,SMI,[서울 강남] 스타트업 프로덕트데이터분석,"서울강남구, 경력 6~15년, 대졸↑, 정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54499434&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=4c567513-9751-4cab-afb0-b04d9c055138
Saramin,(주)신세계인터내셔날,(주)신세계인터내셔날 고객데이터 분석 담당자 정규직 채용,"서울강남구, 경력 7~12년, 대졸↑, 정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54558942&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=4c567513-9751-4cab-afb0-b04d9c055138
